,timedate,open,high,low,close,volume,12h_GAIN,12h_TREND,12h_TRENDPoint1,12h_TRENDPoint3,12h_TRENDPoint5,12h_TRENDPoint7,12h_TREND1,12h_TREND1Point3,12h_TREND1Point6,12h_TREND2,12h_TREND2Point5,12h_TREND3,12h_CDLMARUBOZU,12h_CDLRICKSHAWMAN,12h_CDLCLOSINGMARUBOZU,12h_CMO1,12h_CMO2,12h_RSI1,12h_RSI2,12h_STOCH1,12h_STOCH2,12h_STOCH3,12h_STOCH4,12h_CDLHIKKAKE,12h_CDLMATHOLD,12h_CDLBREAKAWAY,12h_CDLDOJI,12h_CDLDOJISTAR,12h_CDLSHOOTINGSTAR,12h_WILLR1,12h_WILLR2,12h_TRIX1,12h_TRIX2,12h_STOCHF1,12h_STOCHF2,12h_STOCHF3,12h_STOCHF4,12h_CDLHIKKAKEMOD,12h_CDLLADDERBOTTOM,12h_CDLRISEFALL3METHODS,12h_CDLDRAGONFLYDOJI,12h_CDLGRAVESTONEDOJI,12h_CDLHANGINGMAN,12h_AROONOSC1,12h_AROONOSC2,12h_PPO1,12h_MFI1,12h_MFI2,12h_CDLTASUKIGAP,12h_CDLCONCEALBABYSWALL,12h_CDLXSIDEGAP3METHODS,12h_CDLHAMMER,12h_CDLINVERTEDHAMMER,12h_CDLLONGLINE,12h_CDLLONGLEGGEDDOJI,12h_PPO2,12h_PPO3,12h_PPO4,12h_CDLADVANCEBLOCK,12h_CDL2CROWS,12h_CDL3LINESTRIKE,12h_CDLSTALLEDPATTERN,12h_CDLTAKURI,12h_CDLSPINNINGTOP,12h_CDLSHORTLINE,12h_HT_DCPERIOD,12h_HT_DCPHASE,12h_HT_PHASOR1,12h_HT_PHASOR2,12h_CDL3BLACKCROWS,12h_CDLUNIQUE3RIVER,12h_CDL3WHITESOLDIERS,12h_CDLENGULFING,12h_CDLKICKING,12h_CDLKICKINGBYLENGTH,12h_HT_SINE1,12h_HT_SINE2,12h_HT_TRENDMODE,12h_ULTOSC1,12h_ULTOSC2,12h_CDLIDENTICAL3CROWS,12h_CDLTRISTAR,12h_CDL3OUTSIDE,12h_CDLMATCHINGLOW,12h_CDLGAPSIDESIDEWHITE,12h_CDLDARKCLOUDCOVER,12h_CCI1,12h_CCI2,12h_STOCHRSI1,12h_STOCHRSI2,12h_STOCHRSI3,12h_STOCHRSI4,12h_ADX1,12h_ADX2,12h_DX1,12h_DX2,12h_CDLMORNINGSTAR,12h_CDL3INSIDE,12h_CDLINNECK,12h_CDLONNECK,12h_CDLBELTHOLD,12h_CDLCOUNTERATTACK,12h_CDLHARAMICROSS,12h_CDL3STARSINSOUTH,12h_CDLEVENINGDOJISTAR,12h_CDLMORNINGDOJISTAR,12h_CDLUPSIDEGAP2CROWS,12h_CDLSEPARATINGLINES,12h_CDLTHRUSTING,12h_CDLHARAMI,12h_CDLHOMINGPIGEON,12h_CDLPIERCING,12h_CDLABANDONEDBABY,12h_CDLEVENINGSTAR,12h_CDLHIGHWAVE,12h_CDLSTICKSANDWICH
0,2015-02-17 12:00:00,239.02969071,246.97264497,235.89503677,244.56904873,12913.862569069996,-0.0097,0,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2015-02-18 00:00:00,244.88444255,245.77018113,240.3956629,242.51626479,5304.546038689999,-0.021,0,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2015-02-18 12:00:00,242.49685,244.22344862,232.49718491,237.40391492,7732.801658249998,0.0054,1,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2015-02-19 00:00:00,237.4989665,239.46043668,235.69129816,238.77557083,3190.543219090009,0.0112,1,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2015-02-19 12:00:00,238.49336937,244.54080882,237.18088825,241.1730273,6561.91891664,0.0159,1,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2015-02-20 00:00:00,241.06474002,248.17838863,240.38700213,244.89136122,4830.49906781,0.0014,1,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2015-02-20 12:00:00,244.87361111,247.45286413,242.07343588,245.22506173,6691.759749780002,0.0043,1,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.7338,0.8117,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2015-02-21 00:00:00,244.87182173,247.88631615,244.29451181,245.91698457,3040.601818530008,0.0025,1,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,0.0,0.0,0.0,,,,,,,,,-0.5,0.0,0.0,0.0,0.0,0.0,,,,,0.807,0.8189,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2015-02-21 12:00:00,245.28,246.58510658,244.01226825,245.89876077,3491.8841914399986,-0.001,0,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,0.0,0.0,0.0,,,,,0.7828,0.8078,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.8078,0.7927,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2015-02-22 00:00:00,245.74207792,247.44979381,245.23,245.50747383,2323.096041439999,-0.0353,0,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,0.0,0.0,0.0,,,,,0.7903,0.7563,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.7563,0.6572,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
