timedate,open,high,low,close,volume
2015-02-17,239.02969071,246.97264497,235.89503677,244.56904873,12913.862569069996
2015-02-18,244.88444255,245.77018113,232.49718491,237.40391492,13037.347696940004
2015-02-19,237.4989665,244.54080882,235.69129816,241.1730273,9752.462135730013
2015-02-20,241.06474002,248.17838863,240.38700213,245.22506173,11522.258817589987
2015-02-21,244.87182173,247.88631615,244.01226825,245.89876077,6532.486009970022
2015-02-22,245.74207792,247.44979381,234.47323162,236.79243532,8565.028011160011
2015-02-23,236.96671271,240.95313297,232.49837616,239.47142586,10225.63165949
2015-02-24,239.48458448,241.40144529,236.0922955,239.91448889,9132.721502590015
2015-02-25,239.83236536,240.98778202,235.69715538,238.38607749,8258.598676149995
2015-02-26,238.27889277,238.46781563,234.4849058,237.17261969999996,8758.392013690016
2015-02-27,237.15121951,258.81265894,236.58908677,254.31470713,20847.467365949997
2015-02-28,254.43274038,256.64907054,250.96023077,255.66087954,7877.824720830016
2015-03-01,255.73909091,261.73101468,245.57289236,260.25735113,10853.732965090014
2015-03-02,260.38196161,279.26962825,257.92494863,276.70070158,18436.59114682999
2015-03-03,277.20456873,289.04002974,267.47723057,282.51916151,18944.80800142
2015-03-04,283.14797101,286.86061681,268.090011,273.368815,14944.056470589994
2015-03-05,273.38974815,281.00674151,263.42788806,276.69059956,11857.898550860013
2015-03-06,276.82531832,279.8301568,269.76744560000003,273.22970046,10290.871266119997
2015-03-07,273.22918987,279.31937859,270.97926228,276.85432432,6514.8979657400305
2015-03-08,276.86846822,278.80028811,271.35215539,275.49992362,5393.238583700018
2015-03-09,275.47,294.4105049,275.07567828,290.19657534,13950.317398300025
2015-03-10,290.20991658,299.07425567,289.93110953,293.25092449,16330.64691203001
2015-03-11,293.25727901,297.8,291.14211234,296.98847368,9952.63522667001
2015-03-12,296.95770980000003,298.60273232,292.65131273,295.95539725,9780.420575770015
2015-03-13,296.03584906,296.25888406,285.13062206,285.13062206,12235.475254339999
2015-03-14,283.97127885,288.91679669999996,281.21128423,283.94853687,7431.506443110013
2015-03-15,283.75428647,288.84298113,283.01373872,287.99736402,4624.819051960001
2015-03-16,287.99977496,294.97905119,287.51667669,292.38596535,9193.50512453002
2015-03-17,292.34253968,293.68,284.56883561,286.8281352,8087.628791280022
2015-03-18,286.35417556,286.96992195,250.79607430000002,258.67018102,18874.61625421002
2015-03-19,258.48638964,266.66855639,249.94546019999999,262.77875242,16800.963222209994
2015-03-20,263.02185551,267.19045633,260.14353695,263.44091983,7850.0524210700005
2015-03-21,262.81821431,263.33285486,256.67817748,261.89780172,6354.084893670018
2015-03-22,261.88830782,271.20946491,259.88583311,269.30059476,6146.524633780007
2015-03-23,269.4218479,272.15227191,262.69941308,267.52618421,13949.32685577002
2015-03-24,267.5496748,268.49756757,245.00631641,246.06946926,17983.72807681001
2015-03-25,246.99556097,249.98959732,235.2584964,246.85725349,12126.470366800022
2015-03-26,247.06112335,254.66771567,245.12261279,249.75466001,11187.512340599997
2015-03-27,249.93207625,250.92922817,246.54618870000002,247.90642094,8643.425122740013
2015-03-28,247.92710526,254.93242369,247.82222923,253.53746032,6221.852722040027
2015-03-29,253.63500843,253.98650329,241.0904261,243.68653999999998,8865.277311850015
2015-03-30,243.56643674,250.02584753,238.04846828,248.78,11765.64426260002
2015-03-31,248.79134943,249.79157025,243.11985816,245.49894184,8483.812955290014
2015-04-01,245.48141484,248.12424197,241.22102463,247.6869508,10159.998293
2015-04-02,247.35380635,255.15589491,245.8630636,254.75909421,9149.388369960001
2015-04-03,254.79689448,257.30913916,252.63623817,255.11987141,7477.853715970005
2015-04-04,255.04315653,256.59437411,251.53024437,254.41842749,5096.124858169996
2015-04-05,254.41842749,261.87648826,252.31215472,261.80299977,5563.837190900002
2015-04-06,261.70934055,263.0,255.08,256.76328632,7948.204053110004
2015-04-07,256.79374887,258.25677655,253.61566349,254.1790245,8284.459836449998
2015-04-08,254.23555012,255.74,245.00563148,246.71706218,7886.526350830002
2015-04-09,246.76913375,247.91,239.32562054,244.64581248,7969.456703489993
2015-04-10,244.51473223,244.66,232.47232630000002,236.76185163,11771.695519289993
2015-04-11,236.78,239.81478686,234.78,237.91,6284.224028450001
2015-04-12,237.91,239.14485326,234.08686851,237.55,5042.161343180008
2015-04-13,237.56937377,237.99016502,221.12235325,225.48693519,12638.59386636
2015-04-14,225.58179647,226.54,217.06657303,221.05714569,12341.887396529999
2015-04-15,221.0460297,224.42533871,218.82198827,224.00851125,9137.58462649
2015-04-16,224.30317655,230.74382438,223.78617482,229.38777775,8636.837665810002
2015-04-17,229.39838889,229.91502326,220.86637934,223.61108399,7738.360002990006
2015-04-18,223.54573171,224.04,222.18,224.02,5065.6491267699985
2015-04-19,224.02,226.72,223.44,224.04554897,5279.787311559998
2015-04-20,224.54504052,227.42390502,223.46545885,225.36656293,7964.055364200011
2015-04-21,225.3591441,235.88703609,224.09861454,235.87528501,10191.153343890015
2015-04-22,235.89132981,238.41367419,233.41832024,233.97411902,7661.273982190002
2015-04-23,233.99399034,236.52296401,233.00265309,236.10544776,6908.700187649998
2015-04-24,235.95,236.91931873,230.12,231.52616599,6783.269523759993
2015-04-25,231.48211758,233.51298316,226.86899171,227.07394523,5315.996099870007
2015-04-26,227.14274536,227.82481952,215.65548329,221.26140769,9852.974599710007
2015-04-27,221.28558303,230.57911564,218.93624791,227.84672035,12441.00156462001
2015-04-28,227.84672035,228.99955549,221.75703981,225.64,7050.070455489998
2015-04-29,225.45127539,227.04670952,220.73601813,225.66355339,7397.975927950006
2015-04-30,225.78,239.8593892,225.20978173,236.81,11850.835408190003
2015-05-01,236.51887928,238.43857149,233.05172648,233.14290061,10292.807207590002
2015-05-02,233.14177494,236.97583730000002,233.06025718,235.93519247,6744.465132670003
2015-05-03,235.93519247,242.95424986,234.39193089,240.82605595,6189.784422990004
2015-05-04,240.94350081,243.54648778,238.13180321,239.7445201,9521.47279402001
2015-05-05,239.79075142,239.99965422,232.0,236.76079786,9959.119834029983
2015-05-06,236.75990576,237.6571414,228.61192139,229.9803754,8319.867588840008
2015-05-07,229.99888468,239.04978086,228.74575876,237.71360992,9340.429107649996
2015-05-08,237.98827471,247.00329342,236.4,244.52643158,8793.114885470008
2015-05-09,244.44206572,247.59792958,240.00020765,242.60823079,5351.007285150009
2015-05-10,242.57642955,244.87,239.66785834,241.57,5577.717064409996
2015-05-11,241.57,245.31065425,239.52467828,242.85498486,7923.3603629900235
2015-05-12,242.85498486,243.39923984,240.45139629,242.27689856,6941.960681729996
2015-05-13,242.05632319999998,244.10480649,235.71812833,236.50242461,11576.596747050005
2015-05-14,236.91634746,239.9188036,232.88078338,237.45796864,10624.388267390015
2015-05-15,237.37102923,239.0,237.00862376,237.90959639,9531.811531950005
2015-05-16,237.91,237.99,235.48,236.73,3337.87454263002
2015-05-17,236.73,238.18948428,236.7,237.10985046,5516.263338990003
2015-05-18,237.18679714,237.88677511,231.77537381,234.03619287,7613.0000552899955
2015-05-19,234.10977332,234.91385022,231.59299179,232.58645113,7442.695793420018
2015-05-20,232.58645113,234.99510878,232.56,234.54,7377.375108759994
2015-05-21,234.61277687,236.71295046,234.33560387,235.76971445,6665.346949709992
2015-05-22,235.76500523,241.71825803,235.23518929,240.41556777,8044.373838640004
2015-05-23,240.40684657,240.62133824,238.12257343,239.35318274,4305.742246359993
2015-05-24,239.61844023,242.0,238.41,240.81452133,4211.4023290199975
2015-05-25,240.82270505,241.37750049,236.79943166,237.4395382,4593.01682352
2015-05-26,237.39,238.33259245,235.81097972,236.785637,6823.84589631
2015-05-27,236.77926287,238.72494126,236.66787211,237.35078318,7036.6231696399955
2015-05-28,237.3603329,238.40907416,236.33789843,237.32299181,6515.790711239997
2015-05-29,237.36517612,237.68,235.14033033,236.88921817,6583.971623510001
2015-05-30,236.89042226,236.99,231.57922004,233.56350552,6975.196997850001
2015-05-31,233.6081051,233.91287604,229.56,230.19652232,6388.33964778001
