ts,pOpen,pHigh,pLow,pClose
2019-10-23T21:06:00.000Z,7488.7,7488.7,7487.3,7487.3
2019-10-23T21:07:00.000Z,7487,7487,7482.9,7485.9
2019-10-23T21:08:00.000Z,7485.9,7485.9,7485.8,7485.9
2019-10-23T21:09:00.000Z,7485.9,7485.9,7485.5,7485.6
2019-10-23T21:10:00.000Z,7485.6,7485.6,7485.5,7485.6
2019-10-23T21:11:00.000Z,7485.6,7485.6,7485.5,7485.6
2019-10-23T21:12:00.000Z,7485.6,7487.4,7482.3,7482.9
2019-10-23T21:13:00.000Z,7482.5,7482.5,7476.9,7476.9
2019-10-23T21:14:00.000Z,7476.5,7476.5,7474.5,7474.6
2019-10-23T21:15:00.000Z,7474.6,7477.8,7472.6,7476.4
2019-10-23T21:16:00.000Z,7476.5,7476.5,7473.6,7473.6
2019-10-23T21:17:00.000Z,7474.9,7474.9,7471,7472.6
2019-10-23T21:18:00.000Z,7472.6,7473.1,7472.2,7473
2019-10-23T21:19:00.000Z,7473,7473,7467.4,7467.8
2019-10-23T21:20:00.000Z,7467.8,7467.9,7466.8,7467
2019-10-23T21:21:00.000Z,7467,7467,7467,7467
2019-10-23T21:22:00.000Z,7466,7466,7465.9,7465.9
2019-10-23T21:23:00.000Z,7465,7465,7464.9,7464.9
2019-10-23T21:24:00.000Z,7464.9,7465,7462.3,7463.1
2019-10-23T21:25:00.000Z,7463.2,7463.2,7455,7455
2019-10-23T21:26:00.000Z,7455.1,7455.1,7450,7450.5
2019-10-23T21:27:00.000Z,7450.5,7451.4,7447.4,7447.9
2019-10-23T21:28:00.000Z,7447.9,7450.2,7447.5,7450.1
2019-10-23T21:29:00.000Z,7450.2,7451.2,7447.1,7450.4
2019-10-23T21:30:00.000Z,7450.5,7450.9,7449.1,7450.8
2019-10-23T21:31:00.000Z,7450.7,7451.6,7449.1,7450.8
2019-10-23T21:32:00.000Z,7450.9,7453.6,7450,7451.7
2019-10-23T21:33:00.000Z,7451.7,7451.7,7450.2,7451.7
2019-10-23T21:34:00.000Z,7451.7,7454,7451.7,7453.3
2019-10-23T21:35:00.000Z,7453.3,7453.4,7452.1,7453.1
2019-10-23T21:36:00.000Z,7453.1,7453.2,7450.7,7451.2
2019-10-23T21:37:00.000Z,7451.2,7452,7449.1,7452
2019-10-23T21:38:00.000Z,7452,7452,7447.9,7448.5
2019-10-23T21:39:00.000Z,7448.5,7449,7443.3,7443.9
2019-10-23T21:40:00.000Z,7443.8,7443.8,7441.6,7442.6
2019-10-23T21:41:00.000Z,7442.6,7442.6,7441.6,7441.8
2019-10-23T21:42:00.000Z,7441.8,7441.8,7439.9,7440
2019-10-23T21:43:00.000Z,7440.1,7440.1,7430.5,7435.5
2019-10-23T21:44:00.000Z,7435.6,7435.6,7431.2,7433
2019-10-23T21:45:00.000Z,7433.9,7435.3,7432.2,7435.2
2019-10-23T21:46:00.000Z,7435.3,7438.1,7435.2,7437.5
2019-10-23T21:47:00.000Z,7437.5,7437.5,7429.1,7429.1
2019-10-23T21:48:00.000Z,7429.1,7430.1,7427.9,7430
2019-10-23T21:49:00.000Z,7430.1,7432.8,7428.4,7428.4
2019-10-23T21:50:00.000Z,7428.4,7428.4,7425.3,7427
2019-10-23T21:51:00.000Z,7426.5,7433,7423.1,7431.2
2019-10-23T21:52:00.000Z,7430.5,7430.5,7428.2,7428.3
2019-10-23T21:53:00.000Z,7428.2,7445.1,7426.6,7440.3
2019-10-23T21:54:00.000Z,7440.2,7444.5,7437.3,7437.3
2019-10-23T21:55:00.000Z,7437.3,7437.3,7430.4,7431.6
2019-10-23T21:56:00.000Z,7431.6,7438.7,7428.3,7428.3
2019-10-23T21:57:00.000Z,7427,7432.4,7426.3,7432
2019-10-23T21:58:00.000Z,7431.9,7434.7,7431.9,7433.3
2019-10-23T21:59:00.000Z,7433.3,7433.3,7427.5,7427.5
2019-10-23T22:00:00.000Z,7427.6,7432.8,7427.5,7432.8
2019-10-23T22:01:00.000Z,7432.8,7432.8,7428.3,7428.3
2019-10-23T22:02:00.000Z,7428.4,7429.8,7428.4,7429.7
2019-10-23T22:03:00.000Z,7429.6,7432.2,7429.2,7429.2
2019-10-23T22:04:00.000Z,7428.3,7428.4,7426,7426
