,Unnamed: 0,timedate,close,high,low,open,volume,12h_GAIN,12h_RATIO,12h_TREND,12h_TRENDPoint1,12h_TRENDPoint3,12h_TRENDPoint5,12h_TRENDPoint7,12h_TREND1,12h_TREND1Point3,12h_TREND1Point6,12h_TREND2,12h_TREND2Point5,12h_TREND3,12h_CDLMARUBOZU,12h_CDLRICKSHAWMAN,12h_CDLCLOSINGMARUBOZU,12h_CMO1,12h_CMO2,12h_RSI1,12h_RSI2,12h_STOCH1,12h_STOCH2,12h_STOCH3,12h_STOCH4,12h_CDLHIKKAKE,12h_CDLBREAKAWAY,12h_CDLDOJI,12h_CDLDOJISTAR,12h_CDLSHOOTINGSTAR,12h_WILLR1,12h_WILLR2,12h_TRIX1,12h_TRIX2,12h_STOCHF1,12h_STOCHF2,12h_STOCHF3,12h_STOCHF4,12h_CDLHIKKAKEMOD,12h_CDLRISEFALL3METHODS,12h_CDLDRAGONFLYDOJI,12h_CDLGRAVESTONEDOJI,12h_CDLHANGINGMAN,12h_AROONOSC1,12h_AROONOSC2,12h_PPO1,12h_MFI1,12h_MFI2,12h_CDLTASUKIGAP,12h_CDLXSIDEGAP3METHODS,12h_CDLHAMMER,12h_CDLINVERTEDHAMMER,12h_CDLLONGLINE,12h_CDLLONGLEGGEDDOJI,12h_PPO2,12h_PPO3,12h_PPO4,12h_CDLADVANCEBLOCK,12h_CDL2CROWS,12h_CDLSTALLEDPATTERN,12h_CDLTAKURI,12h_CDLSPINNINGTOP,12h_CDLSHORTLINE,12h_HT_DCPERIOD,12h_HT_DCPHASE,12h_HT_PHASOR1,12h_HT_PHASOR2,12h_CDL3BLACKCROWS,12h_CDLUNIQUE3RIVER,12h_CDL3WHITESOLDIERS,12h_CDLENGULFING,12h_HT_SINE1,12h_HT_SINE2,12h_HT_TRENDMODE,12h_ULTOSC1,12h_ULTOSC2,12h_CDLIDENTICAL3CROWS,12h_CDL3OUTSIDE,12h_CDLMATCHINGLOW,12h_CDLGAPSIDESIDEWHITE,12h_CDLDARKCLOUDCOVER,12h_CCI1,12h_CCI2,12h_STOCHRSI1,12h_STOCHRSI2,12h_STOCHRSI3,12h_STOCHRSI4,12h_ADX1,12h_ADX2,12h_DX1,12h_DX2,12h_CDL3INSIDE,12h_CDLBELTHOLD,12h_CDLHARAMICROSS,12h_CDLEVENINGDOJISTAR,12h_CDLMORNINGDOJISTAR,12h_CDLSEPARATINGLINES,12h_CDLTHRUSTING,12h_CDLHARAMI,12h_CDLHOMINGPIGEON,12h_CDLPIERCING,12h_CDLEVENINGSTAR,12h_CDLHIGHWAVE,1w_GAIN,1w_RATIO,1w_TREND,1w_TRENDPoint1,1w_TRENDPoint3,1w_TRENDPoint5,1w_TRENDPoint7,1w_TREND1,1w_TREND1Point3,1w_TREND1Point6,1w_TREND2,1w_TREND2Point5,1w_TREND3,1w_CDLMARUBOZU,1w_CDLRICKSHAWMAN,1w_CDLCLOSINGMARUBOZU,1w_CMO1,1w_CMO2,1w_RSI1,1w_RSI2,1w_STOCH1,1w_STOCH2,1w_STOCH3,1w_STOCH4,1w_CDLHIKKAKE,1w_CDLBREAKAWAY,1w_CDLDOJI,1w_CDLDOJISTAR,1w_CDLSHOOTINGSTAR,1w_WILLR1,1w_WILLR2,1w_TRIX1,1w_TRIX2,1w_STOCHF1,1w_STOCHF2,1w_STOCHF3,1w_STOCHF4,1w_CDLHIKKAKEMOD,1w_CDLRISEFALL3METHODS,1w_CDLDRAGONFLYDOJI,1w_CDLGRAVESTONEDOJI,1w_CDLHANGINGMAN,1w_AROONOSC1,1w_AROONOSC2,1w_PPO1,1w_MFI1,1w_MFI2,1w_CDLTASUKIGAP,1w_CDLXSIDEGAP3METHODS,1w_CDLHAMMER,1w_CDLINVERTEDHAMMER,1w_CDLLONGLINE,1w_CDLLONGLEGGEDDOJI,1w_PPO2,1w_PPO3,1w_PPO4,1w_CDLADVANCEBLOCK,1w_CDL2CROWS,1w_CDLSTALLEDPATTERN,1w_CDLTAKURI,1w_CDLSPINNINGTOP,1w_CDLSHORTLINE,1w_HT_DCPERIOD,1w_HT_DCPHASE,1w_HT_PHASOR1,1w_HT_PHASOR2,1w_CDL3BLACKCROWS,1w_CDLUNIQUE3RIVER,1w_CDL3WHITESOLDIERS,1w_CDLENGULFING,1w_HT_SINE1,1w_HT_SINE2,1w_HT_TRENDMODE,1w_ULTOSC1,1w_ULTOSC2,1w_CDLIDENTICAL3CROWS,1w_CDL3OUTSIDE,1w_CDLMATCHINGLOW,1w_CDLGAPSIDESIDEWHITE,1w_CDLDARKCLOUDCOVER,1w_CCI1,1w_CCI2,1w_STOCHRSI1,1w_STOCHRSI2,1w_STOCHRSI3,1w_STOCHRSI4,1w_ADX1,1w_ADX2,1w_DX1,1w_DX2,1w_CDL3INSIDE,1w_CDLBELTHOLD,1w_CDLHARAMICROSS,1w_CDLEVENINGDOJISTAR,1w_CDLMORNINGDOJISTAR,1w_CDLSEPARATINGLINES,1w_CDLTHRUSTING,1w_CDLHARAMI,1w_CDLHOMINGPIGEON,1w_CDLPIERCING,1w_CDLEVENINGSTAR,1w_CDLHIGHWAVE
0,0,2018-07-29 00:00:00+00:00,8237.95,8294.405999999999,8113.5558,8113.5558,9408.48942671,-0.0009,,0,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,0,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1488,,0,DOWN,DOWN,DOWN,DOWN,DOWN,DOWN,EITHER,EITHER,EITHER,EITHER,0.0,0.0,0.0,0.0563,,0.5281,,0.5864,0.7489,0.2595,0.2363,0.0,0.0,0.0,0.0,0.0,-0.4159,-0.5848,,,0.7489,0.9052,0.2363,0.5841,0.0,0.0,0.0,0.0,0.0,-0.5,,-0.0931,0.5323,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.1956,,-0.127,0.0435,0.0,0.0,0.0,0.0,,,0,0.545,,0.0,1.0,0.0,0.0,0.0,0.0371,-0.0288,0.8551,1.0,,,0.1154,,0.0234,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,2018-07-29 12:00:00+00:00,8230.8345,8247.0,8120.0,8237.95,10175.19255597,-0.0042,,0,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,0,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1488,,0,DOWN,DOWN,DOWN,DOWN,DOWN,DOWN,EITHER,EITHER,EITHER,EITHER,0.0,0.0,0.0,0.0563,,0.5281,,0.5864,0.7489,0.2595,0.2363,0.0,0.0,0.0,0.0,0.0,-0.4159,-0.5848,,,0.7489,0.9052,0.2363,0.5841,0.0,0.0,0.0,0.0,0.0,-0.5,,-0.0931,0.5323,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.1956,,-0.127,0.0435,0.0,0.0,0.0,0.0,,,0,0.545,,0.0,1.0,0.0,0.0,0.0,0.0371,-0.0288,0.8551,1.0,,,0.1154,,0.0234,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,2018-07-30 00:00:00+00:00,8191.8343,8282.8438,8068.8199,8226.1004,11834.01759335,-0.0094,,0,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,0,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0977,,0,DOWN,DOWN,DOWN,DOWN,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,0.0,0.0,0.0,-0.0352,0.0195,0.4824,0.5098,0.6976,0.7333,0.2513,0.2358,0.0,0.0,0.0,0.0,0.0,-0.7053,-0.8708,,,0.7333,0.3839,0.2358,0.2947,0.0,0.0,0.0,0.0,0.0,-0.5,0.2143,-0.0955,0.4213,0.4732,0.0,1.0,0.0,0.0,-1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.1917,,-0.0949,0.1216,0.0,0.0,0.0,0.0,,,0,0.4948,,0.0,0.0,0.0,0.0,0.0,0.0001,-0.0508,0.7884,0.3653,,,0.109,,0.0257,0.0538,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,2018-07-30 12:00:00+00:00,8114.3123,8202.9973,8100.0,8191.5094,11280.17643681,0.0025,,1,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,0,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0977,,0,DOWN,DOWN,DOWN,DOWN,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,0.0,0.0,0.0,-0.0352,0.0195,0.4824,0.5098,0.6976,0.7333,0.2513,0.2358,0.0,0.0,0.0,0.0,0.0,-0.7053,-0.8708,,,0.7333,0.3839,0.2358,0.2947,0.0,0.0,0.0,0.0,0.0,-0.5,0.2143,-0.0955,0.4213,0.4732,0.0,1.0,0.0,0.0,-1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.1917,,-0.0949,0.1216,0.0,0.0,0.0,0.0,,,0,0.4948,,0.0,0.0,0.0,0.0,0.0,0.0001,-0.0508,0.7884,0.3653,,,0.109,,0.0257,0.0538,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,2018-07-31 00:00:00+00:00,8134.9999,8222.0,7868.2785,8114.3124,19260.62587098,-0.0464,,0,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,0,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0977,,0,DOWN,DOWN,DOWN,DOWN,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,0.0,0.0,0.0,-0.0352,0.0195,0.4824,0.5098,0.6976,0.7333,0.2513,0.2358,0.0,0.0,0.0,0.0,0.0,-0.7053,-0.8708,,,0.7333,0.3839,0.2358,0.2947,0.0,0.0,0.0,0.0,0.0,-0.5,0.2143,-0.0955,0.4213,0.4732,0.0,1.0,0.0,0.0,-1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.1917,,-0.0949,0.1216,0.0,0.0,0.0,0.0,,,0,0.4948,,0.0,0.0,0.0,0.0,0.0,0.0001,-0.0508,0.7884,0.3653,,,0.109,,0.0257,0.0538,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5,2018-07-31 12:00:00+00:00,7753.3193,8157.2161,7657.7606,8130.1605,21078.24661051,-0.0277,,0,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,0,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0977,,0,DOWN,DOWN,DOWN,DOWN,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,0.0,0.0,0.0,-0.0352,0.0195,0.4824,0.5098,0.6976,0.7333,0.2513,0.2358,0.0,0.0,0.0,0.0,0.0,-0.7053,-0.8708,,,0.7333,0.3839,0.2358,0.2947,0.0,0.0,0.0,0.0,0.0,-0.5,0.2143,-0.0955,0.4213,0.4732,0.0,1.0,0.0,0.0,-1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.1917,,-0.0949,0.1216,0.0,0.0,0.0,0.0,,,0,0.4948,,0.0,0.0,0.0,0.0,0.0,0.0001,-0.0508,0.7884,0.3653,,,0.109,,0.0257,0.0538,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6,2018-08-01 00:00:00+00:00,7538.6928,7832.2080000000005,7492.7689,7753.3193,19954.52749074,0.0084,,1,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,0.27899999999999997,0.0581,,,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,0,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0977,,0,DOWN,DOWN,DOWN,DOWN,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,0.0,0.0,0.0,-0.0352,0.0195,0.4824,0.5098,0.6976,0.7333,0.2513,0.2358,0.0,0.0,0.0,0.0,0.0,-0.7053,-0.8708,,,0.7333,0.3839,0.2358,0.2947,0.0,0.0,0.0,0.0,0.0,-0.5,0.2143,-0.0955,0.4213,0.4732,0.0,1.0,0.0,0.0,-1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.1917,,-0.0949,0.1216,0.0,0.0,0.0,0.0,,,0,0.4948,,0.0,0.0,0.0,0.0,0.0,0.0001,-0.0508,0.7884,0.3653,,,0.109,,0.0257,0.0538,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7,2018-08-01 12:00:00+00:00,7602.1133,7658.3457,7469.1785,7538.6929,14974.29528735,0.0064,,1,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,0.1292,0.1766,,,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,0,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0977,,0,DOWN,DOWN,DOWN,DOWN,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,0.0,0.0,0.0,-0.0352,0.0195,0.4824,0.5098,0.6976,0.7333,0.2513,0.2358,0.0,0.0,0.0,0.0,0.0,-0.7053,-0.8708,,,0.7333,0.3839,0.2358,0.2947,0.0,0.0,0.0,0.0,0.0,-0.5,0.2143,-0.0955,0.4213,0.4732,0.0,1.0,0.0,0.0,-1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.1917,,-0.0949,0.1216,0.0,0.0,0.0,0.0,,,0,0.4948,,0.0,0.0,0.0,0.0,0.0,0.0001,-0.0508,0.7884,0.3653,,,0.109,,0.0257,0.0538,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,2018-08-02 00:00:00+00:00,7646.6922,7931.0,7440.7959,7597.8837,11489.636311799999,-0.0177,,0,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,0.0,0.0,0.0,,,,,0.1914,0.1661,,,0.0,0.0,0.0,0.0,0.0,,,,,0.1661,0.2636,,,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,0,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0977,,0,DOWN,DOWN,DOWN,DOWN,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,0.0,0.0,0.0,-0.0352,0.0195,0.4824,0.5098,0.6976,0.7333,0.2513,0.2358,0.0,0.0,0.0,0.0,0.0,-0.7053,-0.8708,,,0.7333,0.3839,0.2358,0.2947,0.0,0.0,0.0,0.0,0.0,-0.5,0.2143,-0.0955,0.4213,0.4732,0.0,1.0,0.0,0.0,-1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.1917,,-0.0949,0.1216,0.0,0.0,0.0,0.0,,,0,0.4948,,0.0,0.0,0.0,0.0,0.0,0.0001,-0.0508,0.7884,0.3653,,,0.109,,0.0257,0.0538,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9,2018-08-02 12:00:00+00:00,7511.6989,7688.8888,7470.526,7646.6922,11266.62511076,-0.024,,0,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,0.0,0.0,0.0,,,,,0.1583,0.1797,,,0.0,0.0,0.0,0.0,0.0,,,,,0.1797,0.099,,,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,0,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0977,,0,DOWN,DOWN,DOWN,DOWN,EITHER,EITHER,EITHER,EITHER,EITHER,EITHER,0.0,0.0,0.0,-0.0352,0.0195,0.4824,0.5098,0.6976,0.7333,0.2513,0.2358,0.0,0.0,0.0,0.0,0.0,-0.7053,-0.8708,,,0.7333,0.3839,0.2358,0.2947,0.0,0.0,0.0,0.0,0.0,-0.5,0.2143,-0.0955,0.4213,0.4732,0.0,1.0,0.0,0.0,-1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.1917,,-0.0949,0.1216,0.0,0.0,0.0,0.0,,,0,0.4948,,0.0,0.0,0.0,0.0,0.0,0.0001,-0.0508,0.7884,0.3653,,,0.109,,0.0257,0.0538,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
